Student Name,Class 1,Professor 1,Class Time 1,Class 2,Professor 2,Class Time 2,Class 3,Professor 3,Class Time 3,Class 4,Professor 4,Class Time 4,Class 5,Professor 5,Class Time 5
James King,PHIL 160,Dr. Laura Adams,"TT, 9:00-10:15",MATH 114,Dr. Thomas Green,"F, 9:00-9:50",MATH 288,Dr. John Smith,"F, 9:00-9:50",PHIL 112,Dr. Linda Clark,"F, 3:10-4:00",HIST 232,Dr. Ann Roberts,"TT, 1:45-3:00"
Alex Martin,PSYCH 120,Dr. John Smith,"TT, 1:45-3:00",ECON 271,Dr. Emily Carter,"MW, 1:10-2:25",CSE 268,Dr. Laura Adams,"MW, 12:10-1:25",SOC 246,Dr. Bill Stevens,"F, 9:00-9:50",PHIL 119,Dr. Emily Carter,"TT, 1:45-3:00"
Sophia Clark,MATH 189,Dr. Paul Wilson,"TT, 10:45-12:00",ENG 197,Dr. Thomas Green,"MW, 9:00-10:15",ENG 285,Dr. Laura Adams,"TT, 9:00-10:15",BIO 271,Dr. Sarah Martin,"TT, 9:00-10:15",HIST 259,Dr. Paul Wilson,"MW, 2:00-3:15"
Benjamin Lee,ENG 273,Dr. Bill Stevens,"TT, 3:30-4:45",MATH 216,Dr. Thomas Green,"TT, 10:45-12:00",PHIL 194,Dr. Ann Roberts,"MW, 12:10-1:25",PHIL 219,Dr. Linda Clark,"F, 3:10-4:00",ECON 295,Dr. Thomas Green,"TT, 9:00-10:15"
Henry Young,PSYCH 101,Dr. Thomas Green,"TT, 1:45-3:00",CSE 249,Dr. Emily Carter,"MW, 12:10-1:25",CSE 285,Dr. John Smith,"F, 9:00-9:50",PSYCH 219,Dr. Laura Adams,"TT, 9:00-10:15",BIO 177,Dr. Paul Wilson,"TT, 9:00-10:15"
James Clark,PSYCH 170,Dr. John Smith,"MW, 9:00-10:15",HIST 140,Dr. Emily Carter,"MW, 9:00-10:15",SOC 193,Dr. Laura Adams,"F, 3:10-4:00",PSYCH 140,Dr. Bill Stevens,"MW, 12:10-1:25",BIO 238,Dr. Linda Clark,"MW, 1:10-2:25"
Emma King,SOC 164,Dr. Linda Clark,"TT, 10:45-12:00",MATH 263,Dr. Mark Johnson,"TT, 10:45-12:00",CSE 135,Dr. Linda Clark,"TT, 1:45-3:00",SOC 125,Dr. Ann Roberts,"TT, 3:30-4:45",ENG 152,Dr. Mark Johnson,"F, 9:00-9:50"
Charlotte Garcia,MATH 121,Dr. Bill Stevens,"TT, 10:45-12:00",ECON 256,Dr. Laura Adams,"MW, 9:00-10:15",PHIL 248,Dr. Emily Carter,"MW, 12:10-1:25",ECON 226,Dr. Paul Wilson,"MW, 2:00-3:15",PSYCH 148,Dr. Emily Carter,"MW, 2:00-3:15"
Benjamin Lewis,PSYCH 174,Dr. Bill Stevens,"F, 9:00-9:50",ENG 118,Dr. Emily Carter,"F, 3:10-4:00",PHIL 233,Dr. Sarah Martin,"TT, 9:00-10:15",CSE 241,Dr. Thomas Green,"TT, 9:00-10:15",CSE 265,Dr. Laura Adams,"MW, 12:10-1:25"
Emily Brown,BIO 108,Dr. Mark Johnson,"TT, 1:45-3:00",ECON 255,Dr. Emily Carter,"MW, 12:10-1:25",SOC 270,Dr. Sarah Martin,"MW, 2:00-3:15",HIST 103,Dr. Mark Johnson,"F, 3:10-4:00",SOC 204,Dr. Paul Wilson,"F, 3:10-4:00"
Daniel Allen,ENG 177,Dr. John Smith,"F, 3:10-4:00",HIST 164,Dr. Paul Wilson,"MW, 2:00-3:15",BIO 106,Dr. Thomas Green,"MW, 1:10-2:25",ENG 232,Dr. Sarah Martin,"MW, 1:10-2:25",SOC 128,Dr. Thomas Green,"TT, 1:45-3:00"
Ava Allen,SOC 133,Dr. Bill Stevens,"TT, 9:00-10:15",PSYCH 251,Dr. Bill Stevens,"MW, 9:00-10:15",HIST 187,Dr. Thomas Green,"MW, 1:10-2:25",CSE 141,Dr. Bill Stevens,"F, 9:00-9:50",PSYCH 155,Dr. Mark Johnson,"TT, 3:30-4:45"
Benjamin Young,PSYCH 234,Dr. Sarah Martin,"TT, 1:45-3:00",ECON 195,Dr. John Smith,"F, 3:10-4:00",PSYCH 251,Dr. Paul Wilson,"MW, 9:00-10:15",PHIL 276,Dr. Sarah Martin,"TT, 10:45-12:00",HIST 156,Dr. Thomas Green,"TT, 10:45-12:00"
Jacob Clark,BIO 117,Dr. Ann Roberts,"MW, 1:10-2:25",ENG 258,Dr. Mark Johnson,"MW, 1:10-2:25",PSYCH 235,Dr. Bill Stevens,"F, 9:00-9:50",ENG 135,Dr. Linda Clark,"TT, 10:45-12:00",SOC 259,Dr. Laura Adams,"F, 3:10-4:00"
Evelyn Lewis,MATH 111,Dr. Linda Clark,"MW, 1:10-2:25",SOC 264,Dr. Ann Roberts,"MW, 1:10-2:25",CSE 122,Dr. John Smith,"MW, 2:00-3:15",SOC 127,Dr. Bill Stevens,"MW, 2:00-3:15",CSE 258,Dr. John Smith,"MW, 2:00-3:15"
Jessica White,PHIL 246,Dr. Laura Adams,"F, 9:00-9:50",CSE 100,Dr. Emily Carter,"MW, 2:00-3:15",PSYCH 134,Dr. Thomas Green,"MW, 12:10-1:25",HIST 213,Dr. Laura Adams,"F, 3:10-4:00",ENG 177,Dr. Sarah Martin,"TT, 10:45-12:00"
James Taylor,ECON 284,Dr. Sarah Martin,"MW, 12:10-1:25",HIST 109,Dr. Thomas Green,"F, 9:00-9:50",MATH 188,Dr. Emily Carter,"TT, 1:45-3:00",CSE 300,Dr. Bill Stevens,"TT, 3:30-4:45",ENG 175,Dr. John Smith,"TT, 1:45-3:00"
James King,PHIL 300,Dr. Thomas Green,"MW, 12:10-1:25",CSE 287,Dr. Mark Johnson,"MW, 9:00-10:15",ECON 222,Dr. Sarah Martin,"TT, 3:30-4:45",MATH 245,Dr. Thomas Green,"MW, 12:10-1:25",SOC 233,Dr. Emily Carter,"MW, 2:00-3:15"
Olivia Brown,HIST 276,Dr. Laura Adams,"MW, 1:10-2:25",SOC 205,Dr. Ann Roberts,"TT, 9:00-10:15",ENG 113,Dr. Mark Johnson,"F, 9:00-9:50",SOC 143,Dr. Thomas Green,"MW, 12:10-1:25",SOC 243,Dr. Ann Roberts,"TT, 1:45-3:00"
Isabella Johnson,MATH 119,Dr. Emily Carter,"F, 3:10-4:00",SOC 126,Dr. Paul Wilson,"F, 9:00-9:50",ENG 169,Dr. Paul Wilson,"F, 3:10-4:00",HIST 209,Dr. Thomas Green,"MW, 12:10-1:25",HIST 288,Dr. Mark Johnson,"MW, 1:10-2:25"
Emily Taylor,PSYCH 230,Dr. Ann Roberts,"TT, 10:45-12:00",ECON 174,Dr. John Smith,"TT, 10:45-12:00",ECON 237,Dr. Laura Adams,"MW, 2:00-3:15",PSYCH 127,Dr. Sarah Martin,"MW, 9:00-10:15",PSYCH 272,Dr. Paul Wilson,"F, 9:00-9:50"
Henry Allen,PSYCH 277,Dr. Paul Wilson,"F, 3:10-4:00",SOC 247,Dr. John Smith,"MW, 9:00-10:15",HIST 207,Dr. Mark Johnson,"TT, 3:30-4:45",HIST 178,Dr. Thomas Green,"F, 3:10-4:00",BIO 283,Dr. Sarah Martin,"MW, 12:10-1:25"
Michael White,ECON 110,Dr. Mark Johnson,"MW, 1:10-2:25",PSYCH 279,Dr. Emily Carter,"F, 9:00-9:50",ECON 141,Dr. John Smith,"TT, 3:30-4:45",PHIL 222,Dr. Sarah Martin,"F, 3:10-4:00",MATH 123,Dr. Laura Adams,"F, 9:00-9:50"
Mason Wilson,ENG 173,Dr. Paul Wilson,"MW, 2:00-3:15",PSYCH 175,Dr. Ann Roberts,"TT, 9:00-10:15",SOC 151,Dr. John Smith,"TT, 9:00-10:15",CSE 276,Dr. Emily Carter,"TT, 9:00-10:15",PSYCH 116,Dr. Laura Adams,"MW, 9:00-10:15"
Ethan Allen,ENG 174,Dr. Paul Wilson,"TT, 10:45-12:00",SOC 192,Dr. Emily Carter,"TT, 9:00-10:15",CSE 177,Dr. Thomas Green,"TT, 10:45-12:00",MATH 248,Dr. Linda Clark,"TT, 1:45-3:00",HIST 107,Dr. Thomas Green,"MW, 12:10-1:25"
Elizabeth Taylor,PSYCH 266,Dr. Linda Clark,"MW, 12:10-1:25",PSYCH 110,Dr. Thomas Green,"TT, 10:45-12:00",ECON 282,Dr. Emily Carter,"TT, 10:45-12:00",SOC 160,Dr. Mark Johnson,"MW, 2:00-3:15",MATH 279,Dr. Bill Stevens,"TT, 3:30-4:45"
Mason Thompson,CSE 252,Dr. John Smith,"TT, 10:45-12:00",PHIL 144,Dr. Ann Roberts,"MW, 9:00-10:15",MATH 108,Dr. Emily Carter,"F, 3:10-4:00",MATH 267,Dr. Emily Carter,"MW, 9:00-10:15",ENG 281,Dr. Bill Stevens,"TT, 10:45-12:00"
Mason Garcia,PSYCH 260,Dr. Laura Adams,"TT, 9:00-10:15",HIST 221,Dr. Laura Adams,"MW, 2:00-3:15",BIO 292,Dr. Paul Wilson,"TT, 10:45-12:00",CSE 220,Dr. John Smith,"MW, 9:00-10:15",SOC 130,Dr. John Smith,"F, 9:00-9:50"
Alex Adams,PHIL 196,Dr. Emily Carter,"MW, 9:00-10:15",ENG 193,Dr. Sarah Martin,"F, 3:10-4:00",ENG 292,Dr. Ann Roberts,"F, 9:00-9:50",CSE 131,Dr. Mark Johnson,"TT, 9:00-10:15",PHIL 279,Dr. Mark Johnson,"MW, 2:00-3:15"
Mia Taylor,SOC 251,Dr. Laura Adams,"F, 3:10-4:00",ECON 182,Dr. Bill Stevens,"MW, 2:00-3:15",BIO 238,Dr. Mark Johnson,"MW, 2:00-3:15",MATH 100,Dr. Thomas Green,"F, 9:00-9:50",ENG 297,Dr. Linda Clark,"F, 9:00-9:50"
Mason Garcia,SOC 269,Dr. Sarah Martin,"MW, 1:10-2:25",PSYCH 113,Dr. Linda Clark,"F, 9:00-9:50",CSE 106,Dr. Bill Stevens,"F, 9:00-9:50",BIO 292,Dr. Laura Adams,"F, 3:10-4:00",ECON 104,Dr. John Smith,"TT, 10:45-12:00"
Matthew Lee,SOC 215,Dr. Laura Adams,"MW, 1:10-2:25",BIO 123,Dr. Mark Johnson,"TT, 9:00-10:15",BIO 257,Dr. Sarah Martin,"MW, 1:10-2:25",ECON 248,Dr. Bill Stevens,"TT, 9:00-10:15",HIST 290,Dr. Ann Roberts,"TT, 1:45-3:00"
Ava Scott,MATH 185,Dr. Ann Roberts,"MW, 12:10-1:25",CSE 216,Dr. John Smith,"TT, 9:00-10:15",BIO 220,Dr. Thomas Green,"TT, 9:00-10:15",SOC 240,Dr. Mark Johnson,"F, 3:10-4:00",MATH 118,Dr. Bill Stevens,"TT, 1:45-3:00"
James Davis,HIST 261,Dr. John Smith,"MW, 2:00-3:15",SOC 243,Dr. Bill Stevens,"MW, 1:10-2:25",MATH 253,Dr. Laura Adams,"MW, 2:00-3:15",ECON 168,Dr. Thomas Green,"TT, 10:45-12:00",ECON 258,Dr. Mark Johnson,"F, 9:00-9:50"
Sophia Taylor,SOC 241,Dr. Thomas Green,"MW, 1:10-2:25",HIST 269,Dr. Thomas Green,"MW, 1:10-2:25",SOC 252,Dr. John Smith,"TT, 10:45-12:00",SOC 287,Dr. Linda Clark,"TT, 1:45-3:00",BIO 177,Dr. Sarah Martin,"MW, 9:00-10:15"
Jessica Young,ECON 142,Dr. Bill Stevens,"MW, 12:10-1:25",HIST 297,Dr. Emily Carter,"MW, 1:10-2:25",MATH 165,Dr. Paul Wilson,"F, 3:10-4:00",PHIL 193,Dr. Linda Clark,"TT, 9:00-10:15",BIO 224,Dr. Mark Johnson,"MW, 12:10-1:25"
Abigail Walker,MATH 144,Dr. Emily Carter,"TT, 10:45-12:00",PSYCH 140,Dr. Emily Carter,"TT, 3:30-4:45",HIST 109,Dr. Thomas Green,"F, 3:10-4:00",MATH 160,Dr. Linda Clark,"F, 9:00-9:50",CSE 140,Dr. Mark Johnson,"MW, 9:00-10:15"
Emma Davis,PHIL 233,Dr. Sarah Martin,"TT, 10:45-12:00",CSE 267,Dr. Laura Adams,"MW, 12:10-1:25",SOC 152,Dr. Sarah Martin,"MW, 2:00-3:15",MATH 107,Dr. Laura Adams,"F, 3:10-4:00",HIST 184,Dr. Emily Carter,"MW, 2:00-3:15"
Abigail Johnson,ECON 110,Dr. Linda Clark,"MW, 1:10-2:25",CSE 162,Dr. Emily Carter,"MW, 12:10-1:25",ECON 277,Dr. Linda Clark,"F, 9:00-9:50",PSYCH 293,Dr. Ann Roberts,"MW, 9:00-10:15",CSE 122,Dr. Laura Adams,"TT, 10:45-12:00"
Henry Adams,PSYCH 174,Dr. John Smith,"MW, 12:10-1:25",SOC 175,Dr. Linda Clark,"MW, 9:00-10:15",BIO 151,Dr. Mark Johnson,"MW, 1:10-2:25",CSE 251,Dr. Linda Clark,"F, 9:00-9:50",MATH 139,Dr. Thomas Green,"MW, 2:00-3:15"
Sophia Allen,SOC 217,Dr. Emily Carter,"TT, 10:45-12:00",MATH 248,Dr. Linda Clark,"MW, 9:00-10:15",SOC 203,Dr. Laura Adams,"TT, 9:00-10:15",ENG 264,Dr. Thomas Green,"MW, 12:10-1:25",ENG 202,Dr. Thomas Green,"TT, 1:45-3:00"
David Walker,HIST 252,Dr. Bill Stevens,"MW, 1:10-2:25",BIO 230,Dr. Bill Stevens,"MW, 2:00-3:15",PSYCH 300,Dr. Laura Adams,"TT, 1:45-3:00",CSE 237,Dr. Sarah Martin,"TT, 3:30-4:45",MATH 147,Dr. Bill Stevens,"MW, 2:00-3:15"
Charlotte Harris,CSE 191,Dr. Thomas Green,"MW, 2:00-3:15",ECON 284,Dr. Mark Johnson,"MW, 12:10-1:25",ENG 147,Dr. Paul Wilson,"F, 9:00-9:50",PSYCH 273,Dr. Emily Carter,"F, 9:00-9:50",SOC 197,Dr. John Smith,"MW, 2:00-3:15"
Emma Lewis,ECON 267,Dr. Linda Clark,"TT, 10:45-12:00",MATH 157,Dr. John Smith,"MW, 1:10-2:25",CSE 143,Dr. Bill Stevens,"MW, 1:10-2:25",SOC 279,Dr. Sarah Martin,"MW, 9:00-10:15",SOC 132,Dr. Bill Stevens,"TT, 10:45-12:00"
Alex Garcia,HIST 163,Dr. Sarah Martin,"TT, 10:45-12:00",HIST 292,Dr. Sarah Martin,"TT, 1:45-3:00",HIST 104,Dr. Paul Wilson,"MW, 2:00-3:15",HIST 217,Dr. Bill Stevens,"MW, 12:10-1:25",HIST 170,Dr. Linda Clark,"TT, 10:45-12:00"
Mason Walker,BIO 104,Dr. Mark Johnson,"F, 3:10-4:00",ECON 130,Dr. Laura Adams,"MW, 12:10-1:25",CSE 136,Dr. Mark Johnson,"MW, 9:00-10:15",PHIL 237,Dr. Paul Wilson,"F, 3:10-4:00",HIST 153,Dr. John Smith,"F, 9:00-9:50"
Elizabeth Brown,CSE 150,Dr. John Smith,"F, 3:10-4:00",MATH 229,Dr. Paul Wilson,"TT, 1:45-3:00",CSE 282,Dr. Emily Carter,"MW, 9:00-10:15",PSYCH 160,Dr. Bill Stevens,"F, 9:00-9:50",MATH 204,Dr. John Smith,"MW, 1:10-2:25"
Henry Smith,PHIL 276,Dr. John Smith,"TT, 3:30-4:45",ECON 227,Dr. Thomas Green,"MW, 1:10-2:25",PSYCH 199,Dr. Sarah Martin,"TT, 9:00-10:15",ENG 292,Dr. Ann Roberts,"F, 3:10-4:00",HIST 219,Dr. Sarah Martin,"TT, 10:45-12:00"
Daniel Smith,CSE 233,Dr. John Smith,"MW, 2:00-3:15",ECON 213,Dr. Emily Carter,"MW, 2:00-3:15",MATH 143,Dr. Paul Wilson,"MW, 2:00-3:15",ECON 215,Dr. Linda Clark,"MW, 2:00-3:15",BIO 216,Dr. Ann Roberts,"TT, 1:45-3:00"
Matthew Lee,ECON 278,Dr. Bill Stevens,"MW, 1:10-2:25",HIST 232,Dr. Sarah Martin,"TT, 1:45-3:00",ECON 139,Dr. Emily Carter,"MW, 12:10-1:25",BIO 121,Dr. Laura Adams,"TT, 10:45-12:00",CSE 276,Dr. Paul Wilson,"MW, 9:00-10:15"
Ethan Adams,HIST 168,Dr. Ann Roberts,"TT, 10:45-12:00",CSE 260,Dr. Emily Carter,"MW, 12:10-1:25",PSYCH 165,Dr. Emily Carter,"MW, 12:10-1:25",MATH 137,Dr. Laura Adams,"MW, 9:00-10:15",PSYCH 143,Dr. Sarah Martin,"TT, 10:45-12:00"
Sophia Scott,PSYCH 219,Dr. Ann Roberts,"F, 3:10-4:00",ECON 158,Dr. Thomas Green,"TT, 1:45-3:00",MATH 298,Dr. Paul Wilson,"TT, 3:30-4:45",BIO 286,Dr. Linda Clark,"MW, 9:00-10:15",BIO 205,Dr. Paul Wilson,"MW, 2:00-3:15"
James Brown,SOC 118,Dr. Sarah Martin,"TT, 3:30-4:45",ENG 254,Dr. Laura Adams,"F, 9:00-9:50",ENG 160,Dr. Mark Johnson,"MW, 12:10-1:25",PHIL 159,Dr. Linda Clark,"TT, 3:30-4:45",SOC 297,Dr. Emily Carter,"TT, 3:30-4:45"
Benjamin Davis,BIO 178,Dr. Linda Clark,"F, 3:10-4:00",ECON 231,Dr. Mark Johnson,"MW, 9:00-10:15",ENG 238,Dr. Ann Roberts,"F, 3:10-4:00",HIST 172,Dr. Emily Carter,"TT, 9:00-10:15",HIST 256,Dr. Sarah Martin,"TT, 1:45-3:00"
Lucas Smith,MATH 141,Dr. Bill Stevens,"TT, 3:30-4:45",SOC 123,Dr. Ann Roberts,"MW, 2:00-3:15",PHIL 261,Dr. Mark Johnson,"TT, 10:45-12:00",SOC 131,Dr. Bill Stevens,"F, 9:00-9:50",ENG 112,Dr. Bill Stevens,"MW, 1:10-2:25"
Charlotte Adams,CSE 122,Dr. Linda Clark,"F, 9:00-9:50",SOC 116,Dr. Mark Johnson,"TT, 9:00-10:15",HIST 278,Dr. Paul Wilson,"MW, 9:00-10:15",PSYCH 281,Dr. Mark Johnson,"TT, 1:45-3:00",PSYCH 293,Dr. Ann Roberts,"TT, 10:45-12:00"
Henry Young,PHIL 243,Dr. Paul Wilson,"MW, 2:00-3:15",BIO 122,Dr. Mark Johnson,"TT, 9:00-10:15",BIO 187,Dr. Emily Carter,"MW, 12:10-1:25",CSE 154,Dr. Linda Clark,"MW, 9:00-10:15",ECON 135,Dr. Ann Roberts,"TT, 9:00-10:15"
David Davis,PSYCH 277,Dr. Bill Stevens,"TT, 1:45-3:00",SOC 263,Dr. Ann Roberts,"TT, 1:45-3:00",CSE 251,Dr. Sarah Martin,"MW, 1:10-2:25",BIO 102,Dr. Linda Clark,"MW, 2:00-3:15",SOC 121,Dr. Emily Carter,"MW, 9:00-10:15"
Henry Taylor,SOC 173,Dr. Linda Clark,"MW, 2:00-3:15",ENG 128,Dr. Linda Clark,"F, 3:10-4:00",SOC 292,Dr. John Smith,"TT, 1:45-3:00",BIO 115,Dr. Laura Adams,"TT, 9:00-10:15",SOC 203,Dr. Ann Roberts,"F, 9:00-9:50"
Henry Garcia,HIST 145,Dr. Emily Carter,"TT, 10:45-12:00",ECON 295,Dr. Laura Adams,"TT, 3:30-4:45",HIST 126,Dr. Laura Adams,"TT, 9:00-10:15",ECON 253,Dr. Sarah Martin,"MW, 1:10-2:25",MATH 293,Dr. Sarah Martin,"TT, 3:30-4:45"
David Lewis,ENG 192,Dr. Mark Johnson,"TT, 10:45-12:00",PHIL 212,Dr. Linda Clark,"TT, 1:45-3:00",ECON 169,Dr. Sarah Martin,"MW, 9:00-10:15",PSYCH 146,Dr. Mark Johnson,"TT, 3:30-4:45",HIST 235,Dr. Laura Adams,"MW, 2:00-3:15"
Sophia Smith,ENG 296,Dr. John Smith,"F, 9:00-9:50",CSE 160,Dr. Linda Clark,"TT, 3:30-4:45",SOC 115,Dr. Ann Roberts,"MW, 9:00-10:15",SOC 194,Dr. Ann Roberts,"MW, 9:00-10:15",PSYCH 195,Dr. Linda Clark,"MW, 9:00-10:15"
Jessica Johnson,MATH 169,Dr. John Smith,"F, 9:00-9:50",PSYCH 239,Dr. Bill Stevens,"MW, 9:00-10:15",CSE 230,Dr. John Smith,"TT, 3:30-4:45",CSE 172,Dr. Mark Johnson,"F, 3:10-4:00",PHIL 161,Dr. Paul Wilson,"TT, 10:45-12:00"
Ethan King,BIO 148,Dr. John Smith,"MW, 2:00-3:15",MATH 212,Dr. Emily Carter,"MW, 9:00-10:15",ENG 118,Dr. Laura Adams,"F, 3:10-4:00",SOC 185,Dr. Laura Adams,"F, 3:10-4:00",HIST 270,Dr. Mark Johnson,"TT, 10:45-12:00"
James Harris,HIST 272,Dr. Linda Clark,"TT, 3:30-4:45",SOC 211,Dr. Emily Carter,"MW, 1:10-2:25",BIO 175,Dr. John Smith,"MW, 9:00-10:15",BIO 142,Dr. Emily Carter,"TT, 1:45-3:00",BIO 153,Dr. Laura Adams,"F, 9:00-9:50"
Daniel Smith,PSYCH 127,Dr. Ann Roberts,"TT, 3:30-4:45",MATH 299,Dr. Sarah Martin,"TT, 10:45-12:00",BIO 206,Dr. Emily Carter,"MW, 9:00-10:15",PHIL 287,Dr. Linda Clark,"MW, 1:10-2:25",CSE 173,Dr. Laura Adams,"TT, 1:45-3:00"
Daniel Thompson,PHIL 122,Dr. Linda Clark,"F, 9:00-9:50",PHIL 164,Dr. Linda Clark,"MW, 1:10-2:25",CSE 225,Dr. Mark Johnson,"TT, 9:00-10:15",BIO 104,Dr. Thomas Green,"F, 3:10-4:00",PSYCH 225,Dr. John Smith,"MW, 9:00-10:15"
Michael Young,MATH 153,Dr. Thomas Green,"F, 3:10-4:00",ECON 177,Dr. Laura Adams,"F, 3:10-4:00",MATH 155,Dr. Laura Adams,"TT, 3:30-4:45",MATH 110,Dr. Sarah Martin,"TT, 1:45-3:00",HIST 243,Dr. John Smith,"TT, 1:45-3:00"
Matthew Scott,BIO 261,Dr. Thomas Green,"MW, 1:10-2:25",PSYCH 106,Dr. Emily Carter,"MW, 9:00-10:15",PSYCH 118,Dr. Linda Clark,"F, 9:00-9:50",CSE 276,Dr. Paul Wilson,"TT, 3:30-4:45",PHIL 246,Dr. Laura Adams,"TT, 3:30-4:45"
David Lee,HIST 114,Dr. Sarah Martin,"MW, 1:10-2:25",PSYCH 174,Dr. Linda Clark,"TT, 3:30-4:45",ECON 238,Dr. Ann Roberts,"F, 9:00-9:50",CSE 288,Dr. Linda Clark,"F, 3:10-4:00",ECON 204,Dr. Laura Adams,"MW, 1:10-2:25"
David Martin,PHIL 215,Dr. Paul Wilson,"MW, 9:00-10:15",BIO 284,Dr. Paul Wilson,"F, 9:00-9:50",PSYCH 155,Dr. Linda Clark,"F, 3:10-4:00",PSYCH 271,Dr. Ann Roberts,"MW, 9:00-10:15",MATH 252,Dr. Laura Adams,"F, 9:00-9:50"
Henry Scott,ENG 236,Dr. Laura Adams,"MW, 1:10-2:25",PSYCH 288,Dr. Emily Carter,"MW, 1:10-2:25",BIO 115,Dr. John Smith,"F, 3:10-4:00",PSYCH 243,Dr. Ann Roberts,"TT, 1:45-3:00",MATH 295,Dr. Paul Wilson,"MW, 9:00-10:15"
Abigail Smith,CSE 185,Dr. Sarah Martin,"MW, 9:00-10:15",PSYCH 121,Dr. Mark Johnson,"MW, 2:00-3:15",ENG 157,Dr. Sarah Martin,"TT, 1:45-3:00",HIST 274,Dr. Linda Clark,"MW, 1:10-2:25",ECON 253,Dr. Emily Carter,"TT, 1:45-3:00"
Henry Lee,PSYCH 156,Dr. Linda Clark,"MW, 2:00-3:15",HIST 173,Dr. Ann Roberts,"MW, 2:00-3:15",PSYCH 116,Dr. Thomas Green,"MW, 1:10-2:25",BIO 184,Dr. Paul Wilson,"TT, 3:30-4:45",BIO 152,Dr. Paul Wilson,"F, 3:10-4:00"
Jessica Harris,PHIL 298,Dr. Emily Carter,"TT, 9:00-10:15",CSE 177,Dr. Paul Wilson,"MW, 1:10-2:25",MATH 180,Dr. Thomas Green,"MW, 9:00-10:15",BIO 155,Dr. Ann Roberts,"TT, 10:45-12:00",PSYCH 151,Dr. Mark Johnson,"F, 9:00-9:50"
Logan Adams,CSE 173,Dr. Emily Carter,"MW, 2:00-3:15",PSYCH 110,Dr. Mark Johnson,"F, 3:10-4:00",BIO 293,Dr. Ann Roberts,"TT, 9:00-10:15",PHIL 219,Dr. Thomas Green,"TT, 1:45-3:00",PHIL 189,Dr. Sarah Martin,"TT, 9:00-10:15"
Matthew Taylor,SOC 183,Dr. Laura Adams,"TT, 10:45-12:00",PSYCH 242,Dr. Laura Adams,"F, 9:00-9:50",ENG 198,Dr. John Smith,"MW, 1:10-2:25",CSE 225,Dr. Paul Wilson,"TT, 9:00-10:15",ENG 237,Dr. Sarah Martin,"F, 3:10-4:00"
Henry Adams,CSE 189,Dr. Sarah Martin,"MW, 1:10-2:25",ENG 167,Dr. Sarah Martin,"TT, 1:45-3:00",CSE 185,Dr. Thomas Green,"F, 9:00-9:50",ECON 115,Dr. Sarah Martin,"MW, 2:00-3:15",HIST 154,Dr. Linda Clark,"TT, 1:45-3:00"
Harper Taylor,PSYCH 105,Dr. Linda Clark,"MW, 1:10-2:25",SOC 165,Dr. Linda Clark,"TT, 1:45-3:00",PHIL 143,Dr. Thomas Green,"MW, 12:10-1:25",ENG 105,Dr. Ann Roberts,"TT, 3:30-4:45",HIST 132,Dr. Ann Roberts,"TT, 3:30-4:45"
Matthew Davis,MATH 155,Dr. Paul Wilson,"F, 3:10-4:00",ENG 289,Dr. Sarah Martin,"TT, 1:45-3:00",ECON 104,Dr. Laura Adams,"MW, 1:10-2:25",BIO 265,Dr. Paul Wilson,"F, 9:00-9:50",PSYCH 291,Dr. Thomas Green,"TT, 9:00-10:15"
Isabella Allen,BIO 174,Dr. Sarah Martin,"MW, 1:10-2:25",CSE 247,Dr. Mark Johnson,"MW, 9:00-10:15",BIO 222,Dr. Laura Adams,"MW, 2:00-3:15",HIST 283,Dr. Ann Roberts,"MW, 12:10-1:25",MATH 237,Dr. Laura Adams,"MW, 9:00-10:15"
Benjamin Walker,ENG 224,Dr. Linda Clark,"MW, 1:10-2:25",BIO 248,Dr. Paul Wilson,"TT, 9:00-10:15",MATH 131,Dr. Bill Stevens,"MW, 2:00-3:15",ECON 238,Dr. Paul Wilson,"MW, 1:10-2:25",ECON 223,Dr. Bill Stevens,"F, 9:00-9:50"
Michael Thompson,BIO 168,Dr. Sarah Martin,"TT, 9:00-10:15",ECON 104,Dr. Laura Adams,"F, 9:00-9:50",CSE 180,Dr. Sarah Martin,"TT, 10:45-12:00",CSE 253,Dr. John Smith,"TT, 9:00-10:15",ENG 147,Dr. Sarah Martin,"F, 3:10-4:00"
Matthew Smith,SOC 204,Dr. John Smith,"F, 3:10-4:00",ENG 106,Dr. John Smith,"MW, 2:00-3:15",PHIL 141,Dr. John Smith,"F, 3:10-4:00",MATH 118,Dr. Laura Adams,"MW, 9:00-10:15",BIO 128,Dr. Laura Adams,"F, 9:00-9:50"
James Lee,PHIL 259,Dr. Thomas Green,"MW, 12:10-1:25",PHIL 293,Dr. Laura Adams,"MW, 9:00-10:15",ECON 270,Dr. Laura Adams,"TT, 9:00-10:15",MATH 218,Dr. Emily Carter,"TT, 10:45-12:00",ECON 289,Dr. John Smith,"MW, 12:10-1:25"
Charlotte Smith,ENG 246,Dr. Paul Wilson,"MW, 9:00-10:15",PHIL 169,Dr. Paul Wilson,"MW, 2:00-3:15",MATH 142,Dr. John Smith,"F, 3:10-4:00",BIO 277,Dr. Sarah Martin,"TT, 3:30-4:45",ECON 280,Dr. Emily Carter,"TT, 9:00-10:15"
